date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:41	54101/54101	---M-Z	200	added ('OK')	text/html	etag:%225144ac639dfde4d652d680e77e34a25d-ssl-df%22	https://watson-vcard.netlify.com/index-dark-particles2.html	D:/websitesi/nafiz/watson-vcard.netlify.com/index-dark-particles2.html	(from )
15:51:41	2785/2785	---M--	404	error ('Not%20Found')	text/html	etag:1535465260-ssl	https://watson-vcard.netlify.com/robots.txt		(from )
15:51:41	1270/1270	---M-Z	200	added ('OK')	text/css	etag:%224be90064a480e9b2c00e6d08ff86ad41-ssl-df%22	https://watson-vcard.netlify.com/css/plugins.css	D:/websitesi/nafiz/watson-vcard.netlify.com/css/plugins.css	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:41	37303/37303	---M-Z	200	added ('OK')	text/css	etag:%22396c420ad3fc43f797a7a9cdfe9540fc-ssl-df%22	https://watson-vcard.netlify.com/css/style-dark.css	D:/websitesi/nafiz/watson-vcard.netlify.com/css/style-dark.css	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:42	4541/4541	---M-Z	200	added ('OK')	text/css	etag:%22aec2d9c037aa70b09e82ad4a340d05bd-ssl-df%22	https://watson-vcard.netlify.com/css/style-demo.css	D:/websitesi/nafiz/watson-vcard.netlify.com/css/style-demo.css	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:42	2559/2559	---M-Z	200	added ('OK')	text/css	etag:%22f6b36b7c76e1b14a8b73f0e6520e9957-ssl-df%22	https://watson-vcard.netlify.com/css/blue-color.css	D:/websitesi/nafiz/watson-vcard.netlify.com/css/blue-color.css	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:42	9174/9174	---M-Z	200	added ('OK')	application/javascript	etag:%2279256fedd805bfa20375acc9739484d5-ssl-df%22	https://watson-vcard.netlify.com/js/modernizr.js	D:/websitesi/nafiz/watson-vcard.netlify.com/js/modernizr.js	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:43	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%227d7fb5eb2c57486de64f7ad020b0aef1-ssl%22	https://watson-vcard.netlify.com/img/favicon.ico	D:/websitesi/nafiz/watson-vcard.netlify.com/img/favicon.ico	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:43	2558/2558	---M-Z	200	added ('OK')	text/css	etag:%22b7fe18c31860873e0017d6c1cd88dece-ssl-df%22	https://watson-vcard.netlify.com/css/red-color.css	D:/websitesi/nafiz/watson-vcard.netlify.com/css/red-color.css	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:43	2560/2560	---M-Z	200	added ('OK')	text/css	etag:%22f7a7fe6decf03b443932db6747eed1f6-ssl-df%22	https://watson-vcard.netlify.com/css/green-color.css	D:/websitesi/nafiz/watson-vcard.netlify.com/css/green-color.css	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:43	2561/2561	---M-Z	200	added ('OK')	text/css	etag:%220503c0b0b12e16ef929c27f1f3f0ebb8-ssl-df%22	https://watson-vcard.netlify.com/css/yellow-color.css	D:/websitesi/nafiz/watson-vcard.netlify.com/css/yellow-color.css	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:43	2559/2559	---M-Z	200	added ('OK')	text/css	etag:%22410ab5e55cdc1780ae7ffc1501af0723-ssl-df%22	https://watson-vcard.netlify.com/css/pink-color.css	D:/websitesi/nafiz/watson-vcard.netlify.com/css/pink-color.css	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:44	2561/2561	---M-Z	200	added ('OK')	text/css	etag:%22f015f80931c0247f73323c67a4df9ef7-ssl-df%22	https://watson-vcard.netlify.com/css/purple-color.css	D:/websitesi/nafiz/watson-vcard.netlify.com/css/purple-color.css	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:44	55980/55980	---M--	200	added ('OK')	image/jpeg	etag:%22b96652e0e51227ca8d6249bf11cdf41f-ssl%22	https://watson-vcard.netlify.com/img/profile-img.jpg	D:/websitesi/nafiz/watson-vcard.netlify.com/img/profile-img.jpg	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:45	4462/4462	---M--	200	added ('OK')	image/png	etag:%228807cd7f5e40c20fef514ed6c0e340e1-ssl%22	https://watson-vcard.netlify.com/img/signature-white.png	D:/websitesi/nafiz/watson-vcard.netlify.com/img/signature-white.png	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:45	18637/18637	---M--	200	added ('OK')	image/png	etag:%220b6f9b059e4baceda2f03b22fc01f87d-ssl%22	https://watson-vcard.netlify.com/img/clients/client-01.png	D:/websitesi/nafiz/watson-vcard.netlify.com/img/clients/client-01.png	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
15:51:45	15861/15861	---M--	200	added ('OK')	image/png	etag:%2256d3d850fbdc4ae069321e169c97e2ad-ssl%22	https://watson-vcard.netlify.com/img/clients/client-02.png	D:/websitesi/nafiz/watson-vcard.netlify.com/img/clients/client-02.png	(from https://watson-vcard.netlify.com/index-dark-particles2.html)
